FID,primaryindex,state_code_2021,state_name_2021,lga_code_2021,lga_name_2021,erp_2001,erp_2002,growth_02,erp_2003,growth_03,erp_2004,growth_04,erp_2005,growth_05,erp_2006,growth_06,erp_2007,growth_07,erp_2008,growth_08,erp_2009,growth_09,erp_2010,growth_10,erp_2011,growth_11,erp_2012,growth_12,erp_2013,growth_13,erp_2014,growth_14,erp_2015,growth_15,erp_2016,growth_16,erp_2017,growth_17,erp_2018,growth_18,erp_2019,growth_19,erp_2020,growth_20,erp_2021,growth_21,erp_change_number_2020_21,erp_change_per_cent_2020_21,area_km2,pop_density_2021_people_per_km2,births_2016_17,deaths_2016_17,natural_increase_2016_17,internal_arrivals_2016_17,internal_departures_2016_17,net_internal_migration_2016_17,overseas_arrivals_2016_17,overseas_departures_2016_17,net_overseas_migration_2016_17,births_2017_18,deaths_2017_18,natural_increase_2017_18,internal_arrivals_2017_18,internal_departures_2017_18,net_internal_migration_2017_18,overseas_arrivals_2017_18,overseas_departures_2017_18,net_overseas_migration_2017_18,births_2018_19,deaths_2018_19,natural_increase_2018_19,internal_arrivals_2018_19,internal_departures_2018_19,net_internal_migration_2018_19,overseas_arrivals_2018_19,overseas_departures_2018_19,net_overseas_migration_2018_19,births_2019_20,deaths_2019_20,natural_increase_2019_20,internal_arrivals_2019_20,internal_departures_2019_20,net_internal_migration_2019_20,overseas_arrivals_2019_20,overseas_departures_2019_20,net_overseas_migration_2019_20,births_2020_21,deaths_2020_21,natural_increase_2020_21,internal_arrivals_2020_21,internal_departures_2020_21,net_internal_migration_2020_21,overseas_arrivals_2020_21,overseas_departures_2020_21,net_overseas_migration_2020_21
abs_regional_population_lga_2001_2021.1,1,1,New South Wales,10050,Albury,45265,45816,1.21728,46180,0.794482277,46505,0.703767865,47004,1.073002903,47566,1.195642924,48140,1.206744313,48518,0.785209805,48814,0.610082856,49222,0.835825788,49451,0.465239121,49785,0.675416068,50338,1.110776338,50990,1.29524415,51486,0.972739753,52171,1.330458765,52989,1.567920876,53705,1.351223839,54344,1.189833349,55056,1.310172236,55754,1.267800058,698,1.26779997,305.6386108,182.4181061,726,455,271,3570,3331,239,497,189,308,696,472,224,3861,3643,218,482,208,274,729,474,255,3829,3704,125,489,230,259,692,490,202,3900,3565,335,434,259,175,636,504,132,4087,3545,542,181,157,24
abs_regional_population_lga_2001_2021.2,2,1,New South Wales,10180,Armidale Regional,27906,27774,-0.47302,27610,-0.590480305,27410,-0.724375226,27350,-0.218898212,27377,0.098720293,27468,0.332395807,27788,1.164991991,28156,1.324312653,28409,0.898565137,28573,0.577281847,28748,0.612466314,28895,0.511339919,29015,0.415296764,29160,0.499741513,29310,0.514403292,29629,1.088365745,29705,0.256505451,29812,0.360208719,29703,-0.365624581,29484,-0.737299263,-219,-0.73729998,7809.44043,3.77539992,358,190,168,1907,2159,-252,648,245,403,319,220,99,1982,2356,-374,623,272,351,352,201,151,2030,2409,-379,633,298,335,347,218,129,1722,2186,-464,558,332,226,309,218,91,1963,2256,-293,182,199,-17
abs_regional_population_lga_2001_2021.3,3,1,New South Wales,10250,Ballina,37856,38417,1.48193,38870,1.179165474,39120,0.643169539,39305,0.472903885,39537,0.590255693,39824,0.725902319,40020,0.492165528,40295,0.687156422,40571,0.684948505,40747,0.433807399,41118,0.910496478,41510,0.953353762,41881,0.89376054,42336,1.086411499,42993,1.551870748,43480,1.132742539,44172,1.591536339,44622,1.018744906,45221,1.342387163,45773,1.220671812,552,1.22070003,484.9692078,94.38330078,401,466,-65,2985,2650,335,347,130,217,379,461,-82,3677,3093,584,334,144,190,450,466,-16,3353,3067,286,339,159,180,388,465,-77,3434,2880,554,302,180,122,431,463,-32,3713,3147,566,126,108,18
abs_regional_population_lga_2001_2021.4,4,1,New South Wales,10300,Balranald,2751,2703,-1.74482,2661,-1.553829079,2596,-2.442690718,2545,-1.964560863,2507,-1.493123772,2473,-1.356202633,2433,-1.617468662,2404,-1.191944102,2381,-0.956738769,2353,-1.17597648,2363,0.424989375,2381,0.761743546,2376,-0.2099958,2364,-0.505050505,2330,-1.438240271,2343,0.557939914,2338,-0.213401622,2338,0,2305,-1.411462789,2276,-1.25813449,-29,-1.25810003,21690.75,0.1049,38,17,21,110,125,-15,12,5,7,26,15,11,137,159,-22,11,5,6,32,21,11,164,181,-17,11,5,6,31,22,9,119,165,-46,10,6,4,28,20,8,131,168,-37,4,4,0
abs_regional_population_lga_2001_2021.5,5,1,New South Wales,10470,Bathurst Regional,35504,35831,0.92102,36084,0.70609249,36245,0.446181133,36547,0.833218375,36916,1.009658796,37272,0.964351501,37904,1.695642842,38848,2.490502322,39484,1.637149918,39960,1.205551616,40301,0.853353353,40727,1.057045731,41157,1.055810642,41694,1.304759822,42244,1.319134648,42806,1.330366443,43163,0.833995234,43612,1.040242801,43995,0.878198661,44540,1.238777134,545,1.23880005,3817.864502,11.66619968,482,317,165,2150,1935,215,294,112,182,484,330,154,2508,2466,42,284,123,161,529,325,204,2623,2532,91,289,135,154,458,308,150,2511,2379,132,255,154,101,503,302,201,2749,2422,327,109,92,17
abs_regional_population_lga_2001_2021.6,6,1,New South Wales,10500,Bayside (NSW),129075,129377,0.23397,130598,0.943753527,131144,0.418076847,132112,0.738119929,133205,0.827328327,135831,1.97139747,139556,2.742378397,142527,2.128894494,144295,1.240466719,144985,0.478187047,148028,2.098837811,151309,2.216472559,154980,2.426161035,159222,2.737127371,164534,3.336222381,170266,3.483778429,174218,2.321074084,178351,2.372315145,181445,1.734781414,182369,0.509245226,924,0.50919998,50.62039948,3602.677979,2468,1018,1450,10277,11060,-783,8202,3137,5065,2265,1110,1155,11576,13418,-1842,8112,3473,4639,2298,973,1325,11649,13358,-1709,8331,3814,4517,2333,969,1364,12165,13539,-1374,7407,4303,3104,2385,1016,1369,13601,14862,-1261,3382,2566,816
abs_regional_population_lga_2001_2021.7,7,1,New South Wales,10550,Bega Valley,30425,30790,1.19967,31056,0.863916856,31406,1.126996394,31608,0.6431892,31829,0.699190078,32183,1.112193283,32367,0.571730417,32620,0.781660333,32962,1.048436542,33128,0.503610218,33288,0.482975127,33430,0.426580149,33562,0.394854921,33713,0.449913593,33941,0.676296977,34117,0.51854689,34315,0.580355834,34473,0.460440041,34730,0.74551098,35046,0.909876188,316,0.90990001,6278.501465,5.58190012,281,345,-64,1824,1674,150,144,54,90,319,422,-103,2337,2115,222,138,59,79,299,381,-82,2189,2026,163,142,65,77,300,342,-42,2059,1809,250,125,76,49,273,360,-87,2277,1886,391,57,45,12
abs_regional_population_lga_2001_2021.8,8,1,New South Wales,10600,Bellingen,12634,12673,0.30869,12705,0.252505326,12672,-0.25974026,12682,0.078914141,12716,0.268096515,12773,0.448254168,12787,0.109606201,12837,0.391022132,12891,0.420659032,12923,0.248235203,12909,-0.108333978,12920,0.085211868,12929,0.069659443,12936,0.054141852,12951,0.115955473,12951,0,12953,0.015442823,12993,0.30880877,13142,1.146771338,13248,0.806574342,106,0.80659997,1600.433838,8.27779961,110,129,-19,890,914,-24,70,27,43,109,138,-29,1119,1129,-10,69,28,41,133,117,16,1107,1119,-12,69,33,36,108,153,-45,1182,1014,168,62,36,26,107,130,-23,1265,1140,125,26,22,4
abs_regional_population_lga_2001_2021.9,9,1,New South Wales,10650,Berrigan,8075,8058,-0.21053,8035,-0.285430628,8014,-0.261356565,8076,0.773646119,8160,1.040118871,8204,0.539215686,8237,0.402242808,8282,0.546315406,8291,0.108669404,8297,0.072367628,8365,0.81957334,8436,0.848774656,8519,0.983878615,8568,0.575184881,8609,0.478524743,8667,0.673713556,8700,0.380754586,8750,0.574712644,8785,0.4,8810,0.284575982,25,0.28459999,2065.887695,4.26450014,75,96,-21,608,570,38,67,26,41,78,80,-2,606,607,-1,65,29,36,76,103,-27,678,635,43,65,31,34,95,92,3,596,588,8,59,35,24,69,86,-17,626,588,38,25,21,4
abs_regional_population_lga_2001_2021.10,10,1,New South Wales,10750,Blacktown,263103,267048,1.49941,268806,0.658308619,271434,0.977656749,275206,1.389656417,278894,1.340087062,284925,2.162470329,292002,2.483811529,299450,2.550667461,306601,2.388044749,312346,1.873770797,317735,1.725330243,324797,2.222606889,331825,2.163813089,339449,2.297596625,348030,2.527920247,357839,2.818435192,366078,2.302432099,374372,2.265637378,382780,2.245894458,387104,1.129630597,4324,1.12960005,238.8471069,1620.718872,5743,1637,4106,21001,20425,576,8358,3231,5127,5769,1678,4091,23242,23603,-361,8080,3571,4509,5965,1630,4335,24615,24925,-310,8185,3916,4269,6035,1692,4343,25373,24193,1180,7267,4382,2885,5969,1690,4279,26146,26512,-366,3063,2652,411
abs_regional_population_lga_2001_2021.11,11,1,New South Wales,10800,Bland,6603,6529,-1.12070,6453,-1.164037372,6360,-1.441190144,6263,-1.525157233,6212,-0.814306243,6178,-0.547327753,6113,-1.052120427,6101,-0.196302961,6049,-0.852319292,6021,-0.462886428,6034,0.215910978,6028,-0.099436526,6034,0.099535501,6027,-0.116009281,6024,-0.049776008,5988,-0.597609562,5979,-0.150300601,5971,-0.133801639,5937,-0.569418858,5923,-0.235809331,-14,-0.2358,8557.65332,0.69209999,55,64,-9,282,317,-35,13,5,8,68,69,-1,366,382,-16,13,5,8,78,52,26,331,372,-41,13,6,7,83,73,10,302,351,-49,12,7,5,62,47,15,354,384,-30,5,4,1
abs_regional_population_lga_2001_2021.12,12,1,New South Wales,10850,Blayney,6478,6545,1.03427,6562,0.25974026,6598,0.548613228,6649,0.772961503,6741,1.383666717,6821,1.186767542,6900,1.158187949,7041,2.043478261,7143,1.448657861,7217,1.03597928,7274,0.789801857,7303,0.398680231,7322,0.260167055,7322,0,7343,0.286806883,7350,0.095328885,7334,-0.217687075,7378,0.59994546,7382,0.054215234,7408,0.352208074,26,0.3522,1524.646973,4.85879993,93,59,34,474,513,-39,18,6,12,88,71,17,501,544,-43,17,7,10,78,47,31,560,556,4,17,8,9,82,61,21,493,517,-24,16,9,7,98,72,26,554,556,-2,7,5,2
abs_regional_population_lga_2001_2021.13,13,1,New South Wales,10900,Blue Mountains,76528,76656,0.16726,76651,-0.006522647,76436,-0.280492101,75971,-0.608352085,75600,-0.488344237,76198,0.791005291,77102,1.186382845,77869,0.994786127,78227,0.459746497,78553,0.41673591,78532,-0.026733543,78705,0.220292365,78867,0.205831904,78889,0.027895064,78835,-0.068450608,79012,0.224519566,79191,0.226547866,79108,-0.10480989,79195,0.109976235,78740,-0.57453122,-455,-0.57450002,1431.144165,55.01890182,779,652,127,4050,4386,-336,720,334,386,759,593,166,4635,5026,-391,705,301,404,720,628,92,4267,4816,-549,706,332,374,710,525,185,4239,4588,-349,625,374,251,754,577,177,4603,5273,-670,263,225,38
abs_regional_population_lga_2001_2021.14,14,1,New South Wales,10950,Bogan,3156,3105,-1.61597,3052,-1.706924316,3027,-0.819134993,2964,-2.081268583,2939,-0.843454791,2972,1.122830895,2992,0.67294751,2999,0.233957219,3013,0.466822274,3009,-0.132758048,2982,-0.897308076,2926,-1.877934272,2894,-1.093643199,2846,-1.658604008,2764,-2.881236824,2666,-3.545586107,2618,-1.800450113,2580,-1.451489687,2529,-1.976744186,2481,-1.897983393,-48,-1.898,14599.89941,0.1699,36,38,-2,153,255,-102,10,4,6,34,22,12,189,255,-66,10,4,6,45,30,15,147,206,-59,10,4,6,46,30,16,155,226,-71,9,5,4,44,18,26,187,262,-75,4,3,1
abs_regional_population_lga_2001_2021.15,15,1,New South Wales,11150,Bourke,3919,3781,-3.52131,3642,-3.676276117,3494,-4.063701263,3349,-4.14997138,3185,-4.896984174,3073,-3.516483516,3046,-0.878620241,3013,-1.08338805,3033,0.663790242,3053,0.659413122,2998,-1.801506715,2903,-3.168779186,2870,-1.136755081,2801,-2.404181185,2762,-1.392359871,2697,-2.353367125,2626,-2.63255469,2590,-1.370906321,2625,1.351351351,2596,-1.104761905,-29,-1.10479999,41598.37109,0.0624,38,19,19,174,261,-87,6,3,3,46,27,19,216,308,-92,5,3,2,45,26,19,198,255,-57,5,3,2,47,20,27,220,214,6,5,3,2,41,22,19,232,280,-48,2,2,0
abs_regional_population_lga_2001_2021.16,16,1,New South Wales,11200,Brewarrina,2148,2121,-1.25698,2078,-2.027345592,2039,-1.87680462,2029,-0.490436488,2004,-1.232134056,1961,-2.145708583,1944,-0.86690464,1900,-2.263374486,1878,-1.157894737,1874,-0.212992545,1821,-2.828175027,1830,0.494233937,1786,-2.404371585,1762,-1.343784994,1710,-2.951191827,1671,-2.280701754,1653,-1.077199282,1611,-2.540834846,1553,-3.600248293,1520,-2.124919511,-33,-2.1249001,19162.0293,0.0793,15,16,-1,97,137,-40,4,2,2,20,16,4,147,170,-23,3,2,1,22,16,6,195,244,-49,3,2,1,11,13,-2,133,190,-57,3,2,1,22,14,8,142,183,-41,1,1,0
abs_regional_population_lga_2001_2021.17,17,1,New South Wales,11250,Broken Hill,20929,20681,-1.18496,20403,-1.344229002,20111,-1.431162084,19915,-0.97459102,19753,-0.813457193,19708,-0.227813497,19604,-0.527704485,19421,-0.933482963,19267,-0.792956078,19151,-0.602065708,18985,-0.866795468,18802,-0.963918883,18627,-0.930752048,18360,-1.433403124,18114,-1.339869281,17883,-1.275256708,17715,-0.939439691,17477,-1.343494214,17271,-1.178691995,17230,-0.23739216,-41,-0.2374,170.1152954,101.2842026,200,230,-30,755,997,-242,67,26,41,203,222,-19,796,982,-186,65,28,37,202,210,-8,787,1052,-265,65,30,35,197,247,-50,786,966,-180,59,35,24,225,190,35,835,915,-80,25,21,4
abs_regional_population_lga_2001_2021.23,23,1,New South Wales,11520,Canada Bay,61940,63077,1.83565,64060,1.558412734,65350,2.013737121,66951,2.449885233,68309,2.028349091,70196,2.762447115,72320,3.025813437,75332,4.164823009,77709,3.155365582,80065,3.031823856,82636,3.211140948,85568,3.548090421,88565,3.502477562,90467,2.147575227,92534,2.284811036,94240,1.84364666,95064,0.874363328,96017,1.002482538,96539,0.543653728,95919,-0.642227494,-620,-0.64219999,19.9239006,4814.268066,1329,456,873,6292,7261,-969,3720,1918,1802,1221,494,727,6726,7923,-1197,3584,2290,1294,1176,515,661,6980,7907,-927,3662,2443,1219,1092,518,574,6898,7751,-853,3198,2397,801,1058,516,542,7899,8608,-709,1383,1836,-453
abs_regional_population_lga_2001_2021.24,24,1,New South Wales,11570,Canterbury-Bankstown,307592,307011,-0.18889,306316,-0.226376254,305670,-0.210893326,307118,0.473713482,310578,1.126602804,316155,1.795684176,322404,1.976562129,327793,1.671505316,332118,1.31943025,335940,1.150795801,340387,1.323748288,345692,1.558520155,350922,1.512907444,356328,1.540513276,361862,1.55306347,368409,1.809253251,373486,1.37808794,377836,1.164702291,380363,0.668808689,378425,-0.509513281,-1938,-0.50950003,110.2373962,3432.818604,5681,2134,3547,16360,19798,-3438,10319,3881,6438,5628,2248,3380,18653,22623,-3970,9982,4315,5667,5604,2131,3473,18489,23021,-4532,10132,4723,5409,5405,2179,3226,18393,22742,-4349,9001,5351,3650,5154,2099,3055,19567,25241,-5674,3873,3192,681
abs_regional_population_lga_2001_2021.25,25,1,New South Wales,11600,Carrathool,3290,3246,-1.33739,3143,-3.173136168,3054,-2.831689469,2947,-3.503601834,2863,-2.850356295,2827,-1.257422284,2784,-1.521047046,2778,-0.215517241,2732,-1.655867531,2681,-1.866764275,2668,-0.484893696,2797,4.835082459,2800,0.107257776,2766,-1.214285714,2793,0.976138829,2798,0.179018976,2799,0.035739814,2798,-0.035727045,2796,-0.071479628,2789,-0.250357654,-7,-0.25040001,18934.48438,0.1473,35,30,5,188,202,-14,24,10,14,37,25,12,198,223,-25,24,10,14,52,23,29,173,215,-42,24,12,12,54,22,32,184,227,-43,22,13,9,43,21,22,226,256,-30,9,8,1
abs_regional_population_lga_2001_2021.18,18,1,New South Wales,11300,Burwood,30393,30682,0.95088,30980,0.971253504,31370,1.258876695,31696,1.039209436,32199,1.586951035,32893,2.155346439,33343,1.368072234,33708,1.094682542,33835,0.37676516,34176,1.007832126,35095,2.689021536,36145,2.991879185,37200,2.918799281,37822,1.672043011,38536,1.887790175,39348,2.107120614,39864,1.311375419,40596,1.836243227,40861,0.652773672,40686,-0.428281246,-175,-0.42829999,7.12820005,5707.752441,453,253,200,2580,3282,-702,2730,1416,1314,387,223,164,2639,3708,-1069,2736,1315,1421,353,222,131,2668,3466,-798,2738,1339,1399,345,228,117,2818,3624,-806,2422,1468,954,361,240,121,3372,3854,-482,1102,916,186
abs_regional_population_lga_2001_2021.19,19,1,New South Wales,11350,Byron,29453,29697,0.82844,29952,0.858672593,30141,0.631009615,30130,-0.03649514,30125,-0.016594756,30174,0.162655602,30347,0.573341287,30537,0.626091541,30664,0.415888922,30712,0.156535351,31210,1.62151602,31756,1.749439282,32263,1.596548684,32803,1.673743917,33399,1.81690699,34011,1.832390191,34545,1.570080268,35075,1.534230714,35772,1.987170349,36217,1.243989713,445,1.24399996,565.8026733,64.00990295,388,214,174,2182,2130,52,620,234,386,364,247,117,2944,2869,75,600,258,342,401,242,159,2971,2921,50,607,286,321,364,230,134,3380,3035,345,540,322,218,388,212,176,3521,3354,167,295,193,102
abs_regional_population_lga_2001_2021.20,20,1,New South Wales,11400,Cabonne,12447,12478,0.24906,12482,0.032056419,12506,0.192276879,12543,0.295857988,12634,0.725504265,12706,0.569890771,12799,0.731937667,12929,1.015704352,13071,1.098306133,13211,1.071073369,13322,0.840208917,13473,1.133463444,13506,0.244934313,13511,0.037020583,13577,0.488490859,13612,0.257788908,13667,0.404055245,13632,-0.256091315,13678,0.337441315,13759,0.592191841,81,0.59219998,6022.349609,2.28469992,143,89,54,786,829,-43,39,15,24,137,111,26,1045,1037,8,37,16,21,146,125,21,952,1029,-77,39,18,21,132,116,16,940,924,16,34,20,14,145,117,28,1017,965,52,14,13,1
abs_regional_population_lga_2001_2021.21,21,1,New South Wales,11450,Camden,45167,47176,4.44794,48445,2.689927082,48929,0.999071112,49994,2.17662327,50632,1.276153138,52182,3.061305103,53739,2.983787513,55379,3.051787343,56848,2.652630058,58440,2.800450324,61128,4.599589322,64095,4.853749509,68645,7.098837663,74103,7.951052517,80268,8.319501235,87150,8.573777844,94033,7.897877223,101424,7.860006593,107797,6.283522638,114516,6.23301205,6719,6.2329998,201.5278015,568.2391968,1368,380,988,8997,3465,5532,582,220,362,1550,398,1152,10671,5260,5411,561,241,320,1922,405,1517,11402,5829,5573,569,268,301,1943,474,1469,10762,6059,4703,503,302,201,2179,425,1754,11567,6636,4931,213,179,34
abs_regional_population_lga_2001_2021.22,22,1,New South Wales,11500,Campbelltown (NSW),149188,149096,-0.06167,148739,-0.239443043,147583,-0.777200331,147216,-0.248673628,146534,-0.463264863,147155,0.42379243,148404,0.848764908,149984,1.06466133,150316,0.221356945,151172,0.56946699,152451,0.846056148,154346,1.243022348,156289,1.258859964,158586,1.46971316,161562,1.876584314,164645,1.908245751,167926,1.992772328,170908,1.77578219,174055,1.84134154,175687,0.937634656,1632,0.93760002,311.4117127,564.1630859,2349,862,1487,10063,10054,9,2555,968,1587,2550,889,1661,12008,11780,228,2462,1070,1392,2693,915,1778,11949,12070,-121,2503,1178,1325,2783,934,1849,12140,11736,404,2223,1329,894,2669,852,1817,12949,13280,-331,939,793,146
abs_regional_population_lga_2001_2021.26,26,1,New South Wales,11650,Central Coast (NSW),294596,297530,0.99594,299319,0.601283904,299999,0.227182371,301403,0.46800156,303051,0.546776243,306499,1.137762291,312338,1.905063312,316796,1.427299912,320361,1.125329865,322657,0.716691482,325163,0.776676161,327745,0.794063285,330377,0.803063357,333264,0.873850177,336611,1.004308896,339394,0.826770367,341693,0.677383808,343922,0.652339966,345818,0.551287792,347158,0.38748706,1340,0.38749999,1681.005859,206.5180054,3641,3352,289,14280,13350,930,2522,958,1564,3830,3436,394,16943,16426,517,2437,1049,1388,3869,3313,556,15907,15550,357,2475,1159,1316,3826,3158,668,15571,15231,340,2203,1315,888,3872,3216,656,17624,17081,543,927,786,141
abs_regional_population_lga_2001_2021.27,27,1,New South Wales,11700,Central Darling,2432,2326,-4.35855,2218,-4.64316423,2163,-2.479711452,2096,-3.097549699,2000,-4.580152672,2003,0.15,2003,0,2029,1.298052921,2045,0.788565796,2059,0.684596577,2015,-2.136959689,1979,-1.786600496,1934,-2.273875695,1923,-0.56876939,1881,-2.184087363,1847,-1.807549176,1835,-0.64970222,1839,0.217983651,1829,-0.54377379,1834,0.273373428,5,0.27340001,53492.19141,0.0343,27,13,14,86,147,-61,21,8,13,22,16,6,117,146,-29,20,9,11,32,15,17,149,173,-24,22,11,11,20,16,4,129,150,-21,19,12,7,25,15,10,178,184,-6,8,7,1
abs_regional_population_lga_2001_2021.28,28,1,New South Wales,11720,Cessnock,46823,47024,0.42928,47181,0.333872065,47266,0.180157267,47305,0.082511742,47426,0.255786915,48302,1.847088095,49303,2.072377955,50218,1.85587084,51304,2.16257119,52485,2.301964759,53318,1.58712013,54303,1.847406129,55103,1.473215108,55888,1.424604831,56720,1.488691669,57561,1.482722144,59029,2.550337902,59978,1.607684359,61256,2.130781286,63020,2.879717905,1764,2.87969995,1965.159302,32.0685997,751,468,283,3724,3261,463,153,58,95,787,479,308,5287,4211,1076,147,63,84,822,535,287,4539,3958,581,152,71,81,827,428,399,4939,4113,826,133,80,53,867,471,396,5519,4160,1359,57,48,9
abs_regional_population_lga_2001_2021.29,29,1,New South Wales,11730,Clarence Valley,48247,48415,0.34821,48509,0.194154704,48631,0.251499722,48853,0.456498941,49149,0.605899331,49524,0.762986022,49818,0.593651563,50433,1.234493557,50993,1.110384074,51287,0.576549723,51350,0.122838146,51443,0.181110029,51498,0.106914449,51547,0.095149326,51622,0.145498283,51596,-0.050366123,51598,0.003876269,51656,0.112407458,51735,0.152934799,52993,2.431622693,1258,2.43160009,10428.68066,5.08150005,498,599,-101,2641,2690,-49,198,74,124,495,542,-47,3381,3441,-60,191,82,109,508,563,-55,3081,3072,9,195,91,104,507,578,-71,2949,2868,81,172,103,69,546,611,-65,4167,2855,1312,73,62,11
abs_regional_population_lga_2001_2021.30,30,1,New South Wales,11750,Cobar,4990,4984,-0.12024,4949,-0.702247191,4913,-0.727419681,4913,0,4941,0.569916548,4954,0.263104635,4887,-1.352442471,4853,-0.695723348,4844,-0.185452298,4782,-1.279933939,4759,-0.480970305,4740,-0.399243539,4727,-0.274261603,4703,-0.507721599,4687,-0.340208378,4647,-0.853424365,4628,-0.408865935,4572,-1.210025929,4417,-3.390201225,4365,-1.17726964,-52,-1.17729998,45575.35156,0.0958,84,32,52,310,422,-112,32,12,20,72,33,39,364,440,-76,31,13,18,73,30,43,330,446,-116,32,15,17,54,33,21,288,474,-186,27,17,10,71,48,23,333,410,-77,12,10,2
abs_regional_population_lga_2001_2021.31,31,1,New South Wales,11800,Coffs Harbour,62582,63553,1.55156,64574,1.60653313,65448,1.353485923,65957,0.777716661,66657,1.061297512,67567,1.365197954,68574,1.490372519,69358,1.14329046,70373,1.463421667,70972,0.851178719,71564,0.83413177,72303,1.032642111,73016,0.986127823,73739,0.99019393,74670,1.262561196,75552,1.181197268,76480,1.228293096,77265,1.026412134,77651,0.49957937,78093,0.569213532,442,0.56919998,1173.74353,66.53330231,847,673,174,4346,4205,141,915,348,567,801,607,194,5071,4843,228,890,384,506,816,685,131,5095,4919,176,903,425,478,827,686,141,4529,4608,-79,802,478,324,792,719,73,5249,4963,286,368,285,83
abs_regional_population_lga_2001_2021.32,32,1,New South Wales,12000,Coolamon,4090,4078,-0.29340,4072,-0.147130947,4066,-0.147347741,4072,0.147565175,4097,0.613948919,4116,0.463753966,4145,0.704567541,4187,1.013268999,4216,0.692620014,4236,0.474383302,4278,0.991501416,4328,1.168770453,4357,0.670055453,4366,0.20656415,4390,0.549702245,4392,0.045558087,4363,-0.660291439,4341,-0.504240202,4291,-1.151808339,4304,0.302959683,13,0.303,2430.903809,1.77049994,31,43,-12,270,262,8,10,4,6,46,55,-9,322,347,-25,9,4,5,51,38,13,286,326,-40,9,4,5,44,34,10,289,351,-62,7,5,2,39,50,-11,333,309,24,3,3,0
abs_regional_population_lga_2001_2021.33,33,1,New South Wales,12150,Coonamble,4797,4690,-2.23056,4578,-2.388059701,4476,-2.228047182,4394,-1.831992851,4305,-2.025489304,4253,-1.207897793,4233,-0.47025629,4223,-0.236239074,4224,0.023679848,4226,0.047348485,4194,-0.757217227,4168,-0.619933238,4134,-0.815738964,4091,-1.040154814,4051,-0.97775605,4036,-0.370278943,4008,-0.693756194,3957,-1.27245509,3907,-1.263583523,3854,-1.356539544,-53,-1.35650003,9916.053711,0.38870001,88,42,46,223,286,-63,4,2,2,68,59,9,298,337,-39,4,2,2,82,47,35,250,338,-88,4,2,2,57,49,8,259,319,-60,4,2,2,65,41,24,247,325,-78,2,1,1
abs_regional_population_lga_2001_2021.34,34,1,New South Wales,12160,Cootamundra-Gundagai Regional,11397,11357,-0.35097,11292,-0.572334243,11248,-0.389656394,11256,0.071123755,11254,-0.017768301,11201,-0.470943664,11168,-0.294616552,11230,0.555157593,11274,0.391807658,11308,0.301578854,11312,0.035373187,11313,0.00884017,11305,-0.070715107,11302,-0.026536931,11291,-0.097327907,11249,-0.371977681,11250,0.008889679,11233,-0.151111111,11226,-0.062316389,11169,-0.507749866,-57,-0.50770003,3981.417236,2.8053,103,146,-43,603,621,-18,31,12,19,102,128,-26,765,754,11,29,13,16,107,134,-27,668,673,-5,30,15,15,128,121,7,667,692,-25,27,16,11,116,138,-22,691,729,-38,12,9,3
abs_regional_population_lga_2001_2021.35,35,1,New South Wales,12350,Cowra,12989,12922,-0.51582,12849,-0.56492803,12804,-0.350221807,12774,-0.234301781,12754,-0.156568029,12688,-0.517484711,12591,-0.764501892,12548,-0.34151378,12533,-0.119540963,12523,-0.079789356,12529,0.047911842,12511,-0.143666693,12556,0.359683479,12604,0.382287353,12659,0.436369407,12700,0.323880243,12753,0.417322835,12741,-0.094095507,12732,-0.070638097,12785,0.416273955,53,0.4163,2808.781982,4.55179977,131,159,-28,700,653,47,34,12,22,142,137,5,820,791,29,33,14,19,138,175,-37,836,828,8,34,17,17,121,164,-43,803,780,23,29,18,11,154,142,12,921,882,39,13,11,2
abs_regional_population_lga_2001_2021.36,36,1,New South Wales,12380,Cumberland,171200,171580,0.22196,172359,0.45401562,174036,0.97296921,177098,1.7594061,180403,1.866198376,185224,2.672350238,191102,3.173454844,195643,2.376217936,199981,2.217303967,203181,1.600152014,207528,2.139471703,212450,2.371728152,216864,2.077665333,221152,1.977276081,225691,2.052434525,231725,2.673566957,236599,2.10335527,241453,2.051572492,242630,0.487465469,239834,-1.152371924,-2796,-1.15240002,72.74960327,3296.705322,4132,1135,2997,12973,16284,-3311,10221,3873,6348,4022,1099,2923,15043,18757,-3714,9955,4290,5665,4004,1163,2841,14995,18324,-3329,10054,4712,5342,3902,1150,2752,13364,18514,-5150,8890,5315,3575,3724,1114,2610,14360,20392,-6032,3800,3174,626
abs_regional_population_lga_2001_2021.37,37,1,New South Wales,12390,Dubbo Regional,47176,47162,-0.02968,47060,-0.216275815,47025,-0.074373141,47038,0.02764487,47148,0.23385348,47315,0.354203784,47849,1.12860615,48466,1.289473134,48949,0.996574918,49079,0.265582545,49397,0.647934962,49757,0.728789198,50322,1.13551862,50847,1.043281269,51404,1.095443192,52133,1.418177574,53167,1.983388641,53710,1.021310211,54043,0.619996276,54195,0.281257517,152,0.28130001,7534.524902,7.19290018,766,447,319,2765,2618,147,423,160,263,827,398,429,3482,3107,375,408,178,230,837,451,386,3271,3334,-63,414,194,220,792,440,352,3051,3217,-166,367,220,147,840,415,425,3297,3655,-358,215,130,85
