FID,primaryindex,state_code_2021,state_name_2021,lga_code_2021,lga_name_2021,erp_2001,erp_2002,growth_02,erp_2003,growth_03,erp_2004,growth_04,erp_2005,growth_05,erp_2006,growth_06,erp_2007,growth_07,erp_2008,growth_08,erp_2009,growth_09,erp_2010,growth_10,erp_2011,growth_11,erp_2012,growth_12,erp_2013,growth_13,erp_2014,growth_14,erp_2015,growth_15,erp_2016,growth_16,erp_2017,growth_17,erp_2018,growth_18,erp_2019,growth_19,erp_2020,growth_20,erp_2021,growth_21,erp_change_number_2020_21,erp_change_per_cent_2020_21,area_km2,pop_density_2021_people_per_km2,births_2016_17,deaths_2016_17,natural_increase_2016_17,internal_arrivals_2016_17,internal_departures_2016_17,net_internal_migration_2016_17,overseas_arrivals_2016_17,overseas_departures_2016_17,net_overseas_migration_2016_17,births_2017_18,deaths_2017_18,natural_increase_2017_18,internal_arrivals_2017_18,internal_departures_2017_18,net_internal_migration_2017_18,overseas_arrivals_2017_18,overseas_departures_2017_18,net_overseas_migration_2017_18,births_2018_19,deaths_2018_19,natural_increase_2018_19,internal_arrivals_2018_19,internal_departures_2018_19,net_internal_migration_2018_19,overseas_arrivals_2018_19,overseas_departures_2018_19,net_overseas_migration_2018_19,births_2019_20,deaths_2019_20,natural_increase_2019_20,internal_arrivals_2019_20,internal_departures_2019_20,net_internal_migration_2019_20,overseas_arrivals_2019_20,overseas_departures_2019_20,net_overseas_migration_2019_20,births_2020_21,deaths_2020_21,natural_increase_2020_21,internal_arrivals_2020_21,internal_departures_2020_21,net_internal_migration_2020_21,overseas_arrivals_2020_21,overseas_departures_2020_21,net_overseas_migration_2020_21
abs_regional_population_lga_2001_2021.147,147,2,Victoria,21890,Darebin,127067,127359,0.22980,127711,0.27638408,128735,0.801810337,130298,1.214122034,132299,1.535710448,134748,1.851109986,137525,2.060884021,140289,2.009816397,141780,1.062806065,142942,0.81957963,144986,1.429950609,147272,1.576703958,149511,1.52031615,151974,1.647370428,155126,2.07403898,158751,2.336810077,161653,1.828019981,164224,1.590443728,166356,1.298226812,162501,-2.317319484,-3855,-2.31730008,53.47119904,3039.037842,2015,1072,943,11130,11697,-567,5292,2043,3249,1990,1046,944,12021,13219,-1198,5359,2203,3156,1950,1036,914,12285,13789,-1504,5618,2457,3161,1831,1004,827,11968,12971,-1003,5069,2761,2308,1658,1077,581,12087,14991,-2904,847,2379,-1532
abs_regional_population_lga_2001_2021.148,148,2,Victoria,22110,East Gippsland,38843,39112,0.69253,39329,0.554816936,39776,1.136565893,40173,0.9980893,40544,0.923505837,40969,1.048243883,41416,1.091068857,41904,1.178288584,42385,1.147861779,42826,1.040462428,43329,1.174520151,43809,1.107803088,44277,1.068273642,44868,1.334778779,45600,1.63145226,46136,1.175438596,46816,1.473903243,47308,1.050922761,47721,0.873002452,48376,1.372561346,655,1.37259996,20939.50195,2.31030011,429,475,-46,2184,1710,474,161,53,108,449,502,-53,2961,2326,635,155,57,98,467,523,-56,2939,2487,452,160,64,96,392,548,-156,2705,2204,501,144,76,68,392,565,-173,3157,2311,846,24,42,-18
abs_regional_population_lga_2001_2021.149,149,2,Victoria,22170,Frankston,113306,114262,0.84373,115483,1.068596734,117124,1.420988371,118530,1.200437144,120148,1.36505526,122182,1.692912075,124689,2.051857066,127252,2.055514119,129052,1.414516078,130350,1.005796113,132194,1.414652858,134351,1.631692815,136181,1.362103743,137790,1.181515777,139502,1.242470426,140718,0.871672091,141847,0.802313848,142645,0.562577989,143281,0.445862105,142147,-0.791451763,-1134,-0.79149997,129.5980988,1096.829346,1983,919,1064,8953,9640,-687,1248,409,839,1920,929,991,10368,11032,-664,1262,460,802,1759,1022,737,10501,11234,-733,1315,521,794,1827,997,830,9704,10465,-761,1177,610,567,1618,910,708,10284,11817,-1533,193,502,-309
abs_regional_population_lga_2001_2021.150,150,2,Victoria,22250,Gannawarra,11873,11783,-0.75802,11661,-1.035389969,11540,-1.037646857,11455,-0.736568458,11413,-0.366652117,11207,-1.804959257,11052,-1.383064156,10923,-1.167209555,10692,-2.114803625,10453,-2.235316124,10498,0.430498422,10526,0.26671747,10534,0.07600228,10536,0.01898614,10567,0.294229309,10569,0.018926848,10546,-0.217617561,10469,-0.730134648,10400,-0.659088738,10438,0.365384615,38,0.36539999,3737.5979,2.79270005,99,115,-16,557,545,12,8,2,6,106,136,-30,646,643,3,8,4,4,103,142,-39,628,670,-42,8,4,4,79,132,-53,606,626,-20,8,4,4,102,119,-17,688,633,55,2,2,0
abs_regional_population_lga_2001_2021.151,151,2,Victoria,22310,Glen Eira,122346,123197,0.69557,123816,0.5024473,125037,0.986140725,126485,1.158057215,128474,1.57251848,130524,1.595653595,132900,1.820354877,135414,1.891647856,136515,0.813062165,137152,0.46661539,139116,1.431987867,141260,1.541159895,143694,1.723063854,145924,1.551908918,148583,1.82218141,151457,1.934272427,153920,1.626204137,156535,1.698934511,158149,1.031079311,155123,-1.913385478,-3026,-1.91340005,38.69079971,4009.299316,1852,942,910,9456,10657,-1201,5682,2517,3165,1673,962,711,10810,11907,-1097,5666,2817,2849,1658,935,723,11285,12156,-871,5896,3133,2763,1589,918,671,10768,11745,-977,5244,3324,1920,1568,926,642,11915,13302,-1387,870,3151,-2281
abs_regional_population_lga_2001_2021.152,152,2,Victoria,22410,Glenelg,20083,20065,-0.08963,20039,-0.129578869,20033,-0.029941614,20051,0.089851745,20077,0.129669343,20035,-0.209194601,20020,-0.074868979,19995,-0.124875125,19949,-0.230057514,19848,-0.506291042,19825,-0.115880693,19797,-0.141235813,19755,-0.212153357,19722,-0.167046317,19759,0.187607748,19692,-0.339085986,19664,-0.142189722,19671,0.035598047,19618,-0.269432159,19559,-0.300744214,-59,-0.30070001,6218.788574,3.14510012,175,179,-4,972,1070,-98,54,19,35,174,197,-23,1166,1205,-39,55,21,34,190,195,-5,1167,1190,-23,57,22,35,202,217,-15,1031,1095,-64,52,26,26,165,186,-21,1018,1050,-32,9,15,-6
abs_regional_population_lga_2001_2021.153,153,2,Victoria,22490,Golden Plains,14872,15119,1.66084,15477,2.367881474,15931,2.933385023,16390,2.881175067,16666,1.68395363,17022,2.136085443,17456,2.54964164,17941,2.778414299,18441,2.786912658,18958,2.8035356,19604,3.40753244,20362,3.866557845,20899,2.637265495,21388,2.339824872,22016,2.936225921,22568,2.507267442,23118,2.43707905,23722,2.612682758,24241,2.187842509,24765,2.161626996,524,2.16160011,2703.389893,9.16069984,242,113,129,1819,1429,390,49,16,33,266,95,171,1994,1645,349,48,18,30,255,116,139,2185,1752,433,51,19,32,256,99,157,1863,1524,339,46,23,23,262,115,147,2078,1696,382,8,13,-5
abs_regional_population_lga_2001_2021.154,154,2,Victoria,22620,Greater Bendigo,89071,90176,1.24058,91513,1.482656139,92535,1.116781222,93269,0.793213379,94577,1.402395222,96097,1.607156074,97417,1.373612079,99003,1.628052599,100506,1.518135814,101995,1.481503592,103905,1.872640816,105957,1.974880901,107955,1.885670602,109908,1.80908712,112267,2.146340576,114091,1.624698264,116041,1.709161985,118091,1.766616972,119938,1.564048065,121382,1.203955377,1444,1.204,2999.97168,40.46099854,1411,942,469,5363,4494,869,769,283,486,1410,947,463,6204,5224,980,808,301,507,1406,925,481,6479,5423,1056,850,337,513,1380,914,466,5832,4819,1013,765,397,368,1334,929,405,6463,5307,1156,129,246,-117
abs_regional_population_lga_2001_2021.155,155,2,Victoria,22670,Greater Dandenong,127724,127336,-0.30378,127060,-0.216749387,127293,0.183377932,128054,0.597833345,130068,1.572773986,132860,2.146569487,135884,2.276080084,138740,2.101792706,140212,1.060977368,142167,1.394317177,145116,2.074321045,148502,2.333305769,152135,2.446431698,156061,2.580602754,160222,2.666265114,163518,2.05714571,166140,1.603493193,168261,1.276634164,168267,0.003565889,163266,-2.972062258,-5001,-2.97210002,129.5466003,1260.287842,2457,1038,1419,9173,11455,-2282,6225,2066,4159,2420,944,1476,9941,12799,-2858,6294,2290,4004,2378,1067,1311,9804,12966,-3162,6572,2600,3972,2176,1082,1094,8703,12818,-4115,6072,3045,3027,1904,997,907,8767,13163,-4396,998,2510,-1512
abs_regional_population_lga_2001_2021.156,156,2,Victoria,22750,Greater Geelong,191534,194713,1.65976,196973,1.160682646,198541,0.796048189,199996,0.732846112,201495,0.74951499,203802,1.144941562,206479,1.313529799,209429,1.428716722,212585,1.506954624,215837,1.529741045,219152,1.535881244,223357,1.918759582,227744,1.96412022,232926,2.27536181,239529,2.834805904,245728,2.587995608,252229,2.645608152,258938,2.65988447,264783,2.257297114,269508,1.784480121,4725,1.7845,1247.987183,215.9541016,2932,1948,984,12050,8721,3329,2933,1047,1886,2865,1918,947,14180,10517,3663,3005,1114,1891,2984,1975,1009,14864,11068,3796,3165,1261,1904,2942,2093,849,13794,10193,3601,2870,1475,1395,2972,2065,907,15659,11354,4305,482,969,-487
abs_regional_population_lga_2001_2021.157,157,2,Victoria,22830,Greater Shepparton,57610,57996,0.67002,58379,0.660390372,58338,-0.070230734,58419,0.138846035,58688,0.460466629,59208,0.886041439,59854,1.091068774,60758,1.510341832,61443,1.127423549,61744,0.489884934,62562,1.324825084,63244,1.090118602,63919,1.067294921,64489,0.891753626,65072,0.904030145,65554,0.740717974,66008,0.692558806,66501,0.746879166,67042,0.813521601,66786,-0.381850183,-256,-0.38190001,2421.90918,27.57579994,831,486,345,2995,3401,-406,840,297,543,941,517,424,3275,3789,-514,859,315,544,854,547,307,3508,3863,-355,898,357,541,853,515,338,3368,3557,-189,811,419,392,776,543,233,3436,3712,-276,134,347,-213
abs_regional_population_lga_2001_2021.158,158,2,Victoria,22910,Hepburn,14268,14192,-0.53266,14114,-0.549605411,14097,-0.120447782,13973,-0.879619777,13926,-0.336362986,14014,0.631911532,14187,1.234479806,14416,1.614153803,14561,1.005826859,14629,0.467000893,14825,1.339804498,15022,1.328836425,15184,1.07841832,15334,0.987881981,15525,1.245598017,15629,0.669887279,15812,1.17090025,15973,1.018214015,16156,1.145683341,16281,0.773706363,125,0.7737,1472.984253,11.05309963,119,150,-31,1159,1075,84,77,26,51,130,124,6,1275,1149,126,79,28,51,131,143,-12,1355,1231,124,82,33,49,120,173,-53,1282,1082,200,74,38,36,127,142,-15,1370,1220,150,12,22,-10
abs_regional_population_lga_2001_2021.159,159,2,Victoria,22980,Hindmarsh,6496,6452,-0.67734,6361,-1.410415375,6274,-1.36770948,6189,-1.354797577,6119,-1.13103894,6080,-0.637359046,6032,-0.789473684,6025,-0.116047745,5954,-1.178423237,5856,-1.645952301,5857,0.017076503,5852,-0.085367936,5844,-0.1367054,5808,-0.616016427,5784,-0.41322314,5718,-1.141078838,5644,-1.294158797,5586,-1.027639972,5592,0.107411386,5564,-0.500715308,-28,-0.5007,7524.182129,0.73949999,54,76,-22,273,332,-59,21,6,15,60,63,-3,345,430,-85,21,7,14,50,97,-47,359,384,-25,22,8,14,55,79,-24,310,290,20,20,10,10,62,91,-29,343,339,4,3,6,-3
abs_regional_population_lga_2001_2021.160,160,2,Victoria,23110,Hobsons Bay,82854,83124,0.32587,83107,-0.020451374,82668,-0.528234685,82990,0.389509847,83906,1.103747439,84819,1.088122423,85513,0.8182129,86767,1.466443699,87192,0.489817557,87395,0.232819525,88339,1.080153327,89188,0.961070422,90417,1.37798807,91674,1.390225289,93445,1.931845452,95071,1.740060998,96481,1.483102103,97765,1.330831977,98146,0.389710019,96317,-1.863550221,-1829,-1.86360002,64.2405014,1499.31897,1329,633,696,6251,6528,-277,1889,682,1207,1281,584,697,6840,7262,-422,1891,756,1135,1295,622,673,7194,7702,-508,1962,843,1119,1221,613,608,6680,7714,-1034,1758,951,807,1103,626,477,6697,8481,-1784,290,812,-522
abs_regional_population_lga_2001_2021.161,161,2,Victoria,23190,Horsham,18305,18326,0.11472,18340,0.076394194,18413,0.398037077,18584,0.928691685,18770,1.000860956,18917,0.783164624,19060,0.755933816,19243,0.960125918,19390,0.763914151,19523,0.685920578,19608,0.435383906,19694,0.438596491,19748,0.274195186,19792,0.222807373,19884,0.464834276,19885,0.005029169,19874,-0.055318079,19920,0.231458187,20012,0.46184739,19961,-0.254847092,-51,-0.25479999,4266.769043,4.67819977,237,173,64,961,1083,-122,90,31,59,235,169,66,1054,1189,-135,91,33,58,247,174,73,1107,1192,-85,96,38,58,239,192,47,1031,1027,4,85,44,41,186,165,21,1047,1110,-63,15,24,-9
